assignmentName,className,type,time
Scott Harris,ENVSC951,Assignment,2024-01-06 21:00:00
Nicholas Nelson,ENVSC951,Quiz,2024-03-16 02:00:00
Beth Hill,ENVSC951,Quiz,2024-01-05 08:00:00
Molly Wilson,ENGEN198,Quiz,2024-03-19 18:00:00
Robert Bates,ENGEN198,Test,2024-02-17 01:00:00
Elizabeth Schwartz,ENGEN198,Quiz,2024-01-16 08:00:00
Kevin Thompson,ENSLA820,Test,2024-03-14 08:00:00
James Simpson,ENSLA820,Quiz,2024-04-01 15:00:00
Stephen Lopez,ARTSC806,Assignment,2024-03-07 23:00:00
Marc Floyd,ARTSC806,Quiz,2024-02-26 02:00:00
Karen Rubio,ARTSC806,Quiz,2024-02-13 09:00:00
Martha Stanton,DSIGN903,Quiz,2024-01-14 20:00:00
Shawn Hernandez,DSIGN903,Quiz,2024-05-10 06:00:00
Misty Alexander,CAAEN614,Assignment,2024-03-15 20:00:00
John Barton,CAAEN614,Assignment,2024-04-18 16:00:00
Marc Daniels,CAAEN614,Assignment,2024-04-22 02:00:00
Brendan Trevino,LABST752,Quiz,2024-03-12 13:00:00
Courtney Miller,GEOGY179,Test,2024-03-14 05:00:00
Whitney Hurley,ENVED243,Test,2024-04-03 19:00:00
Isabella Nguyen,DINST271,Assignment,2024-01-24 04:00:00
Chelsea Saunders,DINST271,Quiz,2024-01-15 02:00:00
Tina Stewart,DINST271,Test,2024-02-14 14:00:00
Kristina Michael,TOEDR951,Test,2024-02-05 18:00:00
David Cox,COUNS806,Assignment,2024-04-03 03:00:00
Bethany Murray,COUNS806,Quiz,2024-02-20 00:00:00
Lisa White,COUNS806,Assignment,2024-05-03 07:00:00
Jennifer Jones,EDLED690,Assignment,2024-03-01 02:00:00
Michele Shelton,EDLED690,Test,2024-03-08 11:00:00
William Steele,TECED282,Quiz,2024-03-12 08:00:00
Noah Patterson,EDART271,Assignment,2024-02-02 14:00:00
Carla Henry,EDART271,Quiz,2024-01-18 17:00:00
Jessica Ford,EDART271,Test,2024-05-20 14:00:00
Judith Vargas,POPST925,Test,2024-01-25 00:00:00
Andrea Mckinney,POPST925,Test,2024-02-13 03:00:00
Scott Gonzales,TWEDR614,Test,2024-04-25 17:00:00
David Lynch,TWEDR614,Test,2024-03-21 05:00:00
Steven Payne,COMMS682,Test,2024-04-07 01:00:00
Alexa Johnson,COMMS682,Quiz,2024-01-22 21:00:00
Jeffrey Wright,MGSUS254,Quiz,2024-05-05 06:00:00
Peter Johnson,MGSUS254,Quiz,2024-05-05 08:00:00
Harry Chambers,MGSUS254,Quiz,2024-03-10 18:00:00
Kenneth Scott,DINST680,Assignment,2024-05-02 19:00:00
Nicholas Lane,DINST680,Quiz,2024-02-05 03:00:00
Glenda Jones,WGSTS179,Assignment,2024-03-15 21:00:00
Joseph Campbell,PRMGT925,Assignment,2024-05-07 16:00:00
Chelsea Stafford,MATHS282,Quiz,2024-03-24 06:00:00
Alejandro Gordon,MATHS282,Assignment,2024-02-10 22:00:00
Gina Alvarado,MATHS282,Quiz,2024-01-28 06:00:00
Tracy Garza,ENGEV208,Quiz,2024-01-15 11:00:00
Maria Newton,ENGEV208,Assignment,2024-05-16 08:00:00
Ricky Hernandez,ENGEV208,Assignment,2024-01-18 16:00:00
Joyce Huang,DIGIB254,Test,2024-02-19 16:00:00
Michele Smith,DIGIB254,Quiz,2024-02-23 14:00:00
Shawn Myers,BIOEB812,Assignment,2024-03-28 09:00:00
Frank Brown,BIOEB812,Assignment,2024-03-09 16:00:00
Riley Garcia,BIOEB812,Quiz,2024-01-29 23:00:00
Toni Odonnell,PACIS254,Assignment,2024-03-29 04:00:00
Pamela Myers,PACIS254,Quiz,2024-02-09 01:00:00
Michael Schultz,PACIS254,Assignment,2024-05-05 16:00:00
Jack Foster,LABST262,Assignment,2024-04-09 06:00:00
Maxwell Ferrell,EDLED517,Assignment,2024-01-21 20:00:00
Emily Wood,INTLC682,Test,2024-02-21 15:00:00
Danny Turner,INTLC682,Test,2024-05-26 03:00:00
David Johnson,INTLC682,Test,2024-04-27 09:00:00
Joshua Lambert,DANCE682,Assignment,2024-04-18 05:00:00
Jessica Jackson,DANCE682,Assignment,2024-02-19 11:00:00
Laura Pierce,DANCE682,Test,2024-03-02 04:00:00
