meetingID,assignmentName,className
1033,William Velasquez,LLTED834
5894,Frank Henderson,LLTED834
5219,William Velasquez,LLTED834
2891,Frank Henderson,LLTED834
7956,William Velasquez,LLTED834
8194,Frank Henderson,LLTED834
5017,William Velasquez,LLTED834
5925,Frank Henderson,LLTED834
7426,William Velasquez,LLTED834
2532,Frank Henderson,LLTED834
8308,William Velasquez,LLTED834
1916,Frank Henderson,LLTED834
7634,William Velasquez,LLTED834
7742,Frank Henderson,LLTED834
1547,William Velasquez,LLTED834
8539,Frank Henderson,LLTED834
6742,Tracy Johnson,CRSCI288
6059,Joshua Oconnell,CRSCI288
3491,Tracy Johnson,CRSCI288
5516,Joshua Oconnell,CRSCI288
8874,Tracy Johnson,CRSCI288
5889,Joshua Oconnell,CRSCI288
4235,Tracy Johnson,CRSCI288
5573,Joshua Oconnell,CRSCI288
1871,Tracy Johnson,CRSCI288
1645,Joshua Oconnell,CRSCI288
3590,Tracy Johnson,CRSCI288
5947,Joshua Oconnell,CRSCI288
7996,Tracy Johnson,CRSCI288
6060,Joshua Oconnell,CRSCI288
3431,Tracy Johnson,CRSCI288
9156,Joshua Oconnell,CRSCI288
1586,Katherine Smith,CMYHE915
2821,Jacob Murphy,CMYHE915
8418,Ronald Townsend,CMYHE915
2232,Katherine Smith,CMYHE915
3398,Jacob Murphy,CMYHE915
9863,Ronald Townsend,CMYHE915
9231,Katherine Smith,CMYHE915
3949,Jacob Murphy,CMYHE915
7893,Ronald Townsend,CMYHE915
4076,Katherine Smith,CMYHE915
3773,Jacob Murphy,CMYHE915
9838,Ronald Townsend,CMYHE915
8671,Katherine Smith,CMYHE915
7737,Jacob Murphy,CMYHE915
3312,Ronald Townsend,CMYHE915
1247,Katherine Smith,CMYHE915
8640,Jacob Murphy,CMYHE915
9573,Ronald Townsend,CMYHE915
5258,Katherine Smith,CMYHE915
9204,Jacob Murphy,CMYHE915
7512,Ronald Townsend,CMYHE915
9159,Katherine Smith,CMYHE915
7505,Jacob Murphy,CMYHE915
2647,Ronald Townsend,CMYHE915
5777,Matthew Sanders,PACIS288
7414,Joel Malone,PACIS288
2421,Nathan Herrera,PACIS288
7523,Matthew Sanders,PACIS288
7698,Joel Malone,PACIS288
3204,Nathan Herrera,PACIS288
4732,Matthew Sanders,PACIS288
4049,Joel Malone,PACIS288
8681,Nathan Herrera,PACIS288
2551,Matthew Sanders,PACIS288
1058,Joel Malone,PACIS288
8804,Nathan Herrera,PACIS288
2896,Matthew Sanders,PACIS288
6839,Joel Malone,PACIS288
5334,Nathan Herrera,PACIS288
8916,Matthew Sanders,PACIS288
8596,Joel Malone,PACIS288
3978,Nathan Herrera,PACIS288
1049,Matthew Sanders,PACIS288
5568,Joel Malone,PACIS288
1342,Nathan Herrera,PACIS288
6461,Matthew Sanders,PACIS288
1352,Joel Malone,PACIS288
2572,Nathan Herrera,PACIS288
2475,Matthew Sanders,PACIS288
7782,Joel Malone,PACIS288
8460,Nathan Herrera,PACIS288
6340,Matthew Sanders,PACIS288
2765,Joel Malone,PACIS288
9526,Nathan Herrera,PACIS288
3228,Adam Gallegos,MGSYS915
5471,Adam Gallegos,MGSYS915
1244,Adam Gallegos,MGSYS915
2324,Adam Gallegos,MGSYS915
1416,Adam Gallegos,MGSYS915
1949,Adam Gallegos,MGSYS915
4989,Adam Gallegos,MGSYS915
6076,Adam Gallegos,MGSYS915
5571,Adam Gallegos,MGSYS915
3556,Adam Gallegos,MGSYS915
6288,Laura Green,LEADR168
7968,Joan Scott,LEADR168
3734,James Avila,LEADR168
5648,Laura Green,LEADR168
9266,Joan Scott,LEADR168
3168,James Avila,LEADR168
2514,Laura Green,LEADR168
1395,Joan Scott,LEADR168
4733,James Avila,LEADR168
4887,Laura Green,LEADR168
6973,Joan Scott,LEADR168
2595,James Avila,LEADR168
2515,Laura Green,LEADR168
6133,Joan Scott,LEADR168
9606,James Avila,LEADR168
1754,Laura Green,LEADR168
1667,Joan Scott,LEADR168
6754,James Avila,LEADR168
7100,Laura Green,LEADR168
8803,Joan Scott,LEADR168
7678,James Avila,LEADR168
4896,Laura Green,LEADR168
9535,Joan Scott,LEADR168
1307,James Avila,LEADR168
2733,Laura Green,LEADR168
3571,Joan Scott,LEADR168
4192,James Avila,LEADR168
7084,Laura Green,LEADR168
8156,Joan Scott,LEADR168
8538,James Avila,LEADR168
5896,Christopher Cuevas,CLIMT915
5647,Luke Patton,CLIMT915
7544,Christopher Cuevas,CLIMT915
7103,Luke Patton,CLIMT915
9375,Christopher Cuevas,CLIMT915
5978,Luke Patton,CLIMT915
2621,Christopher Cuevas,CLIMT915
3562,Luke Patton,CLIMT915
5932,Christopher Cuevas,CLIMT915
2757,Luke Patton,CLIMT915
9793,Christopher Cuevas,CLIMT915
7442,Luke Patton,CLIMT915
3971,Christopher Cuevas,CLIMT915
9144,Luke Patton,CLIMT915
4599,Christopher Cuevas,CLIMT915
6738,Luke Patton,CLIMT915
4020,Christopher Cuevas,CLIMT915
4851,Luke Patton,CLIMT915
5504,Alexandra Moran,HSHUP445
3839,Alexandra Moran,HSHUP445
3325,Alexandra Moran,HSHUP445
9469,Alexandra Moran,HSHUP445
